welltrack  '	1'		
459519.96	263579.13	-47.4	0
459519.96	263579.3482	-22.40095	25
459519.96	263579.6754	2.59683	50
459519.96	263580.1662	27.59199	75
459519.96	263580.7116	52.58604	100
459519.96	263581.257	77.58009	125
459519.96	263581.8024	102.57414	150
459519.96	263582.2932	127.5693	175
459519.96	263582.7295	152.56549	200
459519.96	263583.1658	177.56169	225
459519.96	263583.6021	202.55788	250
459519.96	263584.1475	227.55185	275
459519.96	263584.7474	252.54463	300
459519.96	263585.2382	277.53979	325
459519.96	263585.6746	302.53598	350
459519.96	263586.1654	327.53115	375
459519.96	263586.8743	352.52091	400
459519.96	263587.7468	377.50568	425
459519.96	263588.6193	402.49046	450
459519.96	263589.3828	427.47872	475
459519.96	263590.1462	452.46698	500
459519.96	263591.0187	477.45175	525
459519.96	263592.0002	502.43239	550
459519.96	263592.9817	527.41304	575
459519.96	263593.6361	552.40416	600
459519.96	263594.2905	577.39527	625
459519.96	263595.272	602.37592	650
459519.96	263596.3625	627.35212	675
459519.96	263597.453	652.32833	700
459519.96	263598.7069	677.29668	725
459519.96	263600.1787	702.25331	750
459519.96	263601.7049	727.20668	775
459519.96	263603.2311	752.16005	800
459519.96	263604.8662	777.10644	825
459519.96	263606.7189	802.03761	850
459519.96	263608.5716	826.96879	875
459519.96	263610.0978	851.92184	900
459519.96	263611.2972	876.89297	925
459519.96	263612.0607	901.8806	950
459519.96	263612.497	926.87679	975
459519.96	263612.9333	951.87298	1000
459519.96	263613.3696	976.86918	1025
459519.96	263613.9695	1001.8618	1050.00000  ;
			
			
welltrack  '	2'		
458313.01	293051.05	-67	0
458313.01	293051.05	-42	25
458313.01	293051.05	-17	50
458313.01	293051.05	8	75
458313.01	293051.05	33	100
458313.01	293051.05	58	125
458313.01	293051.1591	82.99968	150
458313.01	293051.3773	107.99873	175
458313.01	293051.5954	132.99778	200
458313.01	293051.8136	157.99683	225
458313.01	293052.0317	182.99588	250
458313.01	293052.2499	207.99492	275
458313.01	293052.4681	232.99397	300
458313.01	293052.6862	257.99302	325
458313.01	293052.9589	282.99151	350
458313.01	293053.2862	307.98937	375
458313.01	293053.5589	332.98786	400
458313.01	293053.8861	357.98564	425
458313.01	293054.3224	382.98183	450
458313.01	293054.7587	407.97803	475
458313.01	293055.195	432.97422	500
458313.01	293055.6314	457.97041	525
458313.01	293056.0677	482.9666	550
458313.01	293056.613	507.96058	575
458313.01	293057.2675	532.95201	600
458313.01	293057.9219	557.94344	625
458313.01	293057.9219	582.94059	650
458313.1219	293057.2872	607.93219	675
458313.3467	293056.5583	632.92047	700
458313.8375	293055.9188	657.90672	725
458314.4957	293055.3665	682.8918	750
458315.0846	293054.7238	707.87659	775
458315.5423	293054.0054	732.86183	800
458316.0488	293053.3452	757.84752	825
458316.8161	293052.9458	782.83247	850
458317.5603	293052.5162	807.81754	875
458318.3241	293052.16	832.80299	900
458318.964	293051.8336	857.79214	925
458319.425	293051.3726	882.78362	950
458319.7876	293050.8548	907.77544	975
458320.0631	293050.2639	932.76691	1000
458320.4371	293049.7299	957.75839	1025.00000  ;
			
			
welltrack  '	3'		
459689.96	273339.04	-65.7	0
459689.96	273339.04	-40.7	25
459689.96	273339.04	-15.7	50
459690.1349	273339.0869	9.29913	75
459690.4881	273339.1652	34.29651	100
459690.8475	273339.1966	59.2939	125
459691.209	273339.1808	84.29128	150
459691.6042	273339.1272	109.28808	175
459692.024	273339.0147	134.28429	200
459692.418	273338.831	159.28051	225
459692.8635	273338.4161	184.2728	250
459693.3197	273337.7646	209.26012	275
459693.6558	273337.0438	234.24743	300
459693.8302	273336.4539	259.23963	325
459693.8681	273335.8398	284.23182	350
459693.8302	273335.2258	309.22401	375
459693.7733	273334.7937	334.22021	400
459693.7543	273334.3582	359.21641	425
